"Date","Price","Open","High","Low","Change %"
"Mar 11, 2008","1.2430","1.2660","1.2695","1.2415","-1.88%"
"Mar 10, 2008","1.2668","1.2614","1.2702","1.2552","0.65%"
"Mar 07, 2008","1.2586","1.2549","1.2645","1.2470","0.23%"
"Mar 06, 2008","1.2557","1.2450","1.2574","1.2412","0.75%"
"Mar 05, 2008","1.2464","1.2484","1.2620","1.2432","-0.13%"
"Mar 04, 2008","1.2480","1.2395","1.2572","1.2369","0.69%"
"Mar 03, 2008","1.2394","1.2495","1.2625","1.2372","-0.98%"
"Feb 29, 2008","1.2517","1.2271","1.2546","1.2231","2.12%"
"Feb 28, 2008","1.2257","1.2241","1.2337","1.2210","0.07%"
"Feb 27, 2008","1.2248","1.2246","1.2308","1.2167","-0.21%"
"Feb 26, 2008","1.2274","1.2318","1.2401","1.2250","-0.41%"
"Feb 25, 2008","1.2325","1.2372","1.2409","1.2306","-0.28%"
"Feb 22, 2008","1.2359","1.2495","1.2517","1.2341","-1.09%"
"Feb 21, 2008","1.2495","1.2534","1.2550","1.2464","-0.28%"
"Feb 20, 2008","1.2530","1.2533","1.2654","1.2505","-0.10%"
"Feb 19, 2008","1.2542","1.2577","1.2586","1.2455","-0.36%"
"Feb 18, 2008","1.2587","1.2642","1.2678","1.2560","-0.51%"
"Feb 15, 2008","1.2652","1.2697","1.2752","1.2623","-0.24%"
"Feb 14, 2008","1.2683","1.2757","1.2769","1.2620","-0.56%"
"Feb 13, 2008","1.2755","1.2634","1.2797","1.2631","0.84%"
"Feb 12, 2008","1.2649","1.2673","1.2715","1.2560","-0.11%"
"Feb 11, 2008","1.2663","1.2694","1.2717","1.2626","-0.25%"
"Feb 08, 2008","1.2695","1.2686","1.2762","1.2628","-0.07%"
"Feb 07, 2008","1.2704","1.2674","1.2782","1.2606","-0.26%"
"Feb 06, 2008","1.2737","1.2798","1.2840","1.2697","-0.74%"
"Feb 05, 2008","1.2832","1.2601","1.2848","1.2571","1.74%"
"Feb 04, 2008","1.2613","1.2606","1.2659","1.2541","0.10%"
"Feb 01, 2008","1.2601","1.2687","1.2719","1.2555","-0.66%"
"Jan 31, 2008","1.2685","1.2734","1.2902","1.2650","-0.20%"
"Jan 30, 2008","1.2711","1.2839","1.2891","1.2625","-1.04%"
"Jan 29, 2008","1.2845","1.2867","1.2900","1.2816","-0.15%"
"Jan 28, 2008","1.2864","1.3016","1.3049","1.2852","-0.95%"
"Jan 25, 2008","1.2988","1.2922","1.3049","1.2893","0.53%"
"Jan 24, 2008","1.2920","1.3023","1.3128","1.2905","-0.81%"
"Jan 23, 2008","1.3026","1.3089","1.3254","1.2994","-0.25%"
"Jan 22, 2008","1.3059","1.3414","1.3543","1.3021","-2.50%"
"Jan 21, 2008","1.3394","1.3153","1.3453","1.3118","1.83%"
"Jan 18, 2008","1.3153","1.3034","1.3224","1.2997","0.76%"
"Jan 17, 2008","1.3054","1.2950","1.3095","1.2873","0.69%"
"Jan 16, 2008","1.2964","1.2855","1.3083","1.2798","0.82%"
"Jan 15, 2008","1.2858","1.2644","1.2880","1.2596","1.71%"
"Jan 14, 2008","1.2642","1.2801","1.2837","1.2625","-0.98%"
"Jan 11, 2008","1.2767","1.2736","1.2806","1.2681","0.26%"
"Jan 10, 2008","1.2734","1.2938","1.2961","1.2700","-1.67%"
"Jan 09, 2008","1.2950","1.3007","1.3034","1.2903","-0.58%"
"Jan 08, 2008","1.3026","1.2997","1.3037","1.2923","-0.09%"
"Jan 07, 2008","1.3038","1.3041","1.3138","1.3006","-0.23%"
"Jan 04, 2008","1.3068","1.2975","1.3072","1.2892","0.69%"
"Jan 03, 2008","1.2978","1.2888","1.2997","1.2830","0.67%"
"Jan 02, 2008","1.2892","1.3024","1.3042","1.2882","-1.05%"
"Jan 01, 2008","1.3029","1.3050","1.3091","1.3012","-0.09%"
"Dec 31, 2007","1.3041","1.2920","1.3072","1.2824","0.96%"
"Dec 28, 2007","1.2917","1.2974","1.3006","1.2893","-0.54%"
"Dec 27, 2007","1.2987","1.3046","1.3051","1.2947","-0.51%"
"Dec 26, 2007","1.3054","1.3051","1.3090","1.2984","-0.02%"
"Dec 25, 2007","1.3056","1.3034","1.3086","1.3026","0.07%"
"Dec 24, 2007","1.3047","1.3089","1.3121","1.3023","-0.38%"
"Dec 21, 2007","1.3097","1.3156","1.3173","1.3016","-0.56%"
"Dec 20, 2007","1.3171","1.3245","1.3274","1.3153","-0.35%"
"Dec 19, 2007","1.3217","1.3235","1.3284","1.3168","-0.12%"
"Dec 18, 2007","1.3233","1.3245","1.3322","1.3170","-0.15%"
"Dec 17, 2007","1.3253","1.3029","1.3293","1.2987","1.56%"
"Dec 14, 2007","1.3050","1.2821","1.3069","1.2721","1.93%"
"Dec 13, 2007","1.2803","1.2716","1.2851","1.2682","1.07%"
"Dec 12, 2007","1.2668","1.2942","1.2950","1.2590","-2.13%"
"Dec 11, 2007","1.2944","1.2789","1.2967","1.2718","1.08%"
"Dec 10, 2007","1.2806","1.2892","1.2975","1.2788","-0.66%"
"Dec 07, 2007","1.2891","1.2852","1.2914","1.2786","0.32%"
"Dec 06, 2007","1.2850","1.2995","1.3024","1.2840","-1.05%"
"Dec 05, 2007","1.2986","1.3091","1.3201","1.2955","-0.88%"
"Dec 04, 2007","1.3101","1.3099","1.3170","1.3053","0.12%"
"Dec 03, 2007","1.3085","1.3106","1.3150","1.3007","-0.03%"
"Nov 30, 2007","1.3089","1.2945","1.3168","1.2890","0.97%"
"Nov 29, 2007","1.2963","1.2895","1.3032","1.2873","0.54%"
"Nov 28, 2007","1.2893","1.3167","1.3222","1.2875","-2.15%"
"Nov 27, 2007","1.3176","1.3296","1.3350","1.3122","-1.24%"
"Nov 26, 2007","1.3342","1.3139","1.3362","1.3092","1.23%"
"Nov 23, 2007","1.3180","1.3286","1.3327","1.3154","-0.73%"
